,teamName,teamId
1,Arsenal,9825
2,Aston Villa,10252
3,Bournemouth,8678
4,Brentford,9937
5,Brighton,10204
6,Southampton,8466
7,Chelsea,8455
8,Crystal Palace,9826
9,Everton,8668
10,Fulham,9879
11,Liverpool,8650
12,Ipswich Town,9902
13,Man City,8456
14,Man Utd,10260
15,Newcastle,10261
16,Nottingham Forest,10203
17,Tottenham,8586
18,West Ham,8654
19,Wolves,8602
20,Leicester City,8197
