player_name,position,age,current_club,interested_club,contract_expiry_date,market_value,last_updated,probability,loaded_at
Anas El Mahraoui,Centre-Forward,24,COD Meknès,Stade Brestois,"Jun 30, 2027",€550k,,73,2025-06-12 07:28:34
Jack Grealish,Left Winger,29,Man City,B. Leverkusen,"Jun 30, 2027",€28.00m,,70,2025-06-12 07:28:34
Junior Firpo,Left-Back,28,Leeds,Real Betis,"Jun 30, 2025",€8.00m,,70,2025-06-12 07:28:34
Nicola Zalewski,Left Midfield,23,AS Roma,Inter,"Jun 30, 2025",€10.00m,,69,2025-06-12 07:28:34
Luka Hyryläinen,Defensive Midfield,20,Hoffenheim II,Hamburger SV,"Jun 30, 2025",€1.80m,,68,2025-06-12 07:28:34
Darwin Núñez,Centre-Forward,25,Liverpool,Al-Hilal,"Jun 30, 2028",€45.00m,,67,2025-06-12 07:28:34
Hakim Ziyech,Right Winger,32,Al-Duhail SC,Bologna,"Jun 30, 2027",€4.50m,,65,2025-06-12 07:28:34
Iliyan Stefanov,Attacking Midfield,26,Levski Sofia,Loko Sofia,"Dec 31, 2025",€800k,,65,2025-06-12 07:28:34
Lucas Masoero,Centre-Back,30,U Cluj,FC Baniyas,"Jun 30, 2025",€1.50m,,65,2025-06-12 07:28:34
Kellian van der Kaap,Centre-Back,26,Levski Sofia,Go Ahead Eagles,"Jun 30, 2026",€1.50m,,65,2025-06-12 07:28:34
Ognjen Mimovic,Right-Back,20,Fenerbahce,Red Star,"Jun 30, 2025",€3.50m,,65,2025-06-12 07:28:34
Rodrygo,Right Winger,24,Real Madrid,Arsenal,"Jun 30, 2028",€90.00m,,63,2025-06-12 07:28:34
Bruno Petkovic,Centre-Forward,30,Dinamo Zagreb,Hajduk Split,"Jun 30, 2026",€3.00m,,63,2025-06-12 07:28:34
Edvin Kurtulus,Centre-Back,25,Ludogorets,AS Roma,"Jun 30, 2027",€3.50m,,63,2025-06-12 07:28:34
Sofyan Amrabat,Defensive Midfield,28,Fiorentina,Atalanta BC,"Sep 30, 2028",€20.00m,,60,2025-06-12 07:28:34
Benjamin Sesko,Centre-Forward,22,RB Leipzig,Arsenal,"Jun 30, 2029",€70.00m,,60,2025-06-12 07:28:34
Darwin Núñez,Centre-Forward,25,Liverpool,Atlético Madrid,"Jun 30, 2028",€45.00m,,59,2025-06-12 07:28:34
Antoine Makoumbou,Defensive Midfield,26,Cagliari,Samsunspor,"Jun 30, 2026",€4.00m,,58,2025-06-12 07:28:34
João Pedro,Centre-Forward,23,Brighton,Newcastle,"Jun 30, 2028",€50.00m,,58,2025-06-12 07:28:34
Mustapha Sangaré,Centre-Forward,26,Levski Sofia,Club Brugge,"Jun 30, 2027",€700k,,58,2025-06-12 07:28:34
Welton,Left Winger,27,Gamba Osaka,Ludogorets,"Dec 31, 2025",€2.00m,,58,2025-06-12 07:28:34
Jawad El Jemili,Attacking Midfield,22,Levski Sofia,Amiens SC,"Dec 31, 2025",€1.20m,,58,2025-06-12 07:28:34
Mihail Polendakov,Right-Back,18,Septemvri Sofia,Rostov,"Jun 30, 2028",€600k,,58,2025-06-12 07:28:34
Dylan Batubinsika,Centre-Back,29,Saint-Étienne,Panathinaikos,"Jun 30, 2026",€1.20m,,57,2025-06-12 07:28:34
James Trafford,Goalkeeper,22,Burnley,Newcastle,"Jun 30, 2027",€22.00m,,57,2025-06-12 07:28:34
Héliton,Centre-Back,29,Göztepe,Persepolis,"Jun 30, 2025",€950k,,56,2025-06-12 07:28:34
Adrien Rabiot,Central Midfield,30,Marseille,AC Milan,"Jun 30, 2026",€25.00m,,55,2025-06-12 07:28:34
Luan Polli,Goalkeeper,32,FC Nassaji,Gol Gohar,"Jun 30, 2025",€450k,,55,2025-06-12 07:28:34
Brian Gutiérrez,Attacking Midfield,21,Chicago,AS Roma,"Dec 31, 2028",€5.00m,,55,2025-06-12 07:28:34
Claudy M'Buyi,Centre-Forward,26,SKN St. Pölten,Ahly SC,"Jun 30, 2026",€700k,,54,2025-06-12 07:28:34
Ademola Lookman,Second Striker,27,Atalanta BC,Barcelona,"Jun 30, 2027",€60.00m,,54,2025-06-12 07:28:34
Florent Hadergjonaj,Right-Back,30,Alanyaspor,Persepolis,"Jun 30, 2025",€1.60m,,54,2025-06-12 07:28:34
Hamza Igamane,Centre-Forward,22,Rangers,Brentford,"Jun 30, 2029",€4.00m,,53,2025-06-12 07:28:34
Viktor Gyökeres,Centre-Forward,27,Sporting CP,Man Utd,"Jun 30, 2028",€75.00m,,52,2025-06-12 07:28:34
Matija Frigan,Centre-Forward,22,KVC Westerlo,Rangers,"Jun 30, 2028",€5.00m,,48,2025-06-12 07:28:34
Kellian van der Kaap,Centre-Back,26,Levski Sofia,LAFC,"Jun 30, 2026",€1.50m,,48,2025-06-12 07:28:34
Luka Hyryläinen,Defensive Midfield,20,Hoffenheim II,Espanyol,"Jun 30, 2025",€1.80m,,48,2025-06-12 07:28:34
Youssef En-Nesyri,Centre-Forward,28,Fenerbahce,NEOM SC,"Jun 30, 2029",€24.00m,,47,2025-06-12 07:28:34
Riyad Mahrez,Right Winger,34,Al-Ahli,Al-Hilal,"Jun 30, 2027",€8.00m,,45,2025-06-12 07:28:34
Clement Mzize,Centre-Forward,21,Young Africans,Zamalek,-,-,,44,2025-06-12 07:28:34
Diego Coppola,Centre-Back,21,Hellas Verona,Brighton,"Jun 30, 2027",€7.50m,,43,2025-06-12 07:28:34
Abdelhamid Ait Boudlal,Centre-Back,19,Stade Rennais,Liverpool,"Jun 30, 2028",€500k,,42,2025-06-12 07:28:34
Cyriel Dessers,Centre-Forward,30,Rangers,AEK Athens,"May 31, 2027",€4.00m,,40,2025-06-12 07:28:34
Robert Pich,Attacking Midfield,36,Spartak Trnava,Tatran Presov,"Jun 30, 2025",€75k,,38,2025-06-12 07:28:34
Ahmad Nourollahi,Central Midfield,32,Al-Wahda,Persepolis,"Jun 30, 2025",€1.80m,,35,2025-06-12 07:28:34
Kiril Despodov,Right Winger,28,PAOK Salonika,Göztepe,"Jun 30, 2027",€8.00m,,35,2025-06-12 07:28:34
Hamza Igamane,Centre-Forward,22,Rangers,Lens,"Jun 30, 2029",€4.00m,,28,2025-06-12 07:28:34
Aslak Witry,Right-Back,29,Ludogorets,Ferencváros,"Jun 30, 2026",€2.00m,,25,2025-06-12 07:28:34
Osman Bukari,Right Winger,26,Austin,Red Star,"Dec 31, 2027",€5.00m,,19,2025-06-12 07:28:34
Cenk Tosun,Centre-Forward,34,Fenerbahce,Persepolis,"Jun 30, 2026",€1.20m,,10,2025-06-12 07:28:34
Thomas Müller,Second Striker,35,Bayern Munich,Dallas,"Jul 31, 2025",€6.00m,,10,2025-06-12 07:28:34
Martin Bukata,Central Midfield,31,Spartak Trnava,Tatran Presov,"May 31, 2025",€175k,,8,2025-06-12 07:28:34
