player_name,position,age,current_club,interested_club,contract_expiry_date,market_value,last_updated,probability,loaded_at
Florian Wirtz,Attacking Midfield,22,B. Leverkusen,Barcelona,"Jun 30, 2027",€140.00m,28.05.2025 - 03:26,0,2025-05-30 11:21:20
Cristiano Ronaldo,Centre-Forward,40,Al-Nassr,Botafogo,"Jun 30, 2025",€12.00m,27.05.2025 - 22:39,21,2025-05-30 11:21:20
Tarek Hamed,Defensive Midfield,36,Damac FC,Zamalek,"Jun 30, 2025",€300k,27.05.2025 - 22:36,0,2025-05-30 11:21:20
Emam Ashour,Central Midfield,27,Ahly SC,NEOM SC,"Jun 30, 2028",€3.50m,27.05.2025 - 22:10,37,2025-05-30 11:21:20
Ahmed Adel Al-Bagoori,Goalkeeper,22,Al-Kharaitiyat,Ahly SC,"Jun 30, 2026",-,27.05.2025 - 22:08,45,2025-05-30 11:21:20
Luka Modrić,Central Midfield,39,Real Madrid,Miami,"Jun 30, 2025",€5.00m,27.05.2025 - 21:50,38,2025-05-30 11:21:20
Luka Modrić,Central Midfield,39,Real Madrid,Al-Ettifaq,"Jun 30, 2025",€5.00m,27.05.2025 - 21:50,0,2025-05-30 11:21:20
Luka Modrić,Central Midfield,39,Real Madrid,Al-Nassr,"Jun 30, 2025",€5.00m,27.05.2025 - 21:50,0,2025-05-30 11:21:20
Morrison Agyemang,Centre-Back,20,HNK Sibenik,Charlotte,"Jun 30, 2027",€500k,27.05.2025 - 19:22,0,2025-05-30 11:21:20
Rayan Aït-Nouri,Left-Back,23,Wolves,Man City,"Jun 30, 2026",€35.00m,27.05.2025 - 18:21,48,2025-05-30 11:21:20
Cristiano Ronaldo,Centre-Forward,40,Al-Nassr,Without Club,"Jun 30, 2025",€12.00m,27.05.2025 - 17:45,75,2025-05-30 11:21:20
Filip Stanković,Goalkeeper,23,Inter,Sassuolo,"Jun 30, 2025",€6.00m,27.05.2025 - 16:19,0,2025-05-30 11:21:20
Sam Sutton,Left-Back,23,Wellington,Perth Glory,"Jun 30, 2025",€350k,27.05.2025 - 16:15,0,2025-05-30 11:21:20
João Pedro,Centre-Forward,23,Brighton,Newcastle,"Jun 30, 2028",€50.00m,27.05.2025 - 15:46,0,2025-05-30 11:21:20
Harry Darling,Centre-Back,25,Swansea,Rangers,"Jun 30, 2025",€3.50m,27.05.2025 - 15:42,0,2025-05-30 11:21:20
Eberechi Eze,Attacking Midfield,26,Crystal Palace,Liverpool,"Jun 30, 2027",€55.00m,27.05.2025 - 15:17,42,2025-05-30 11:21:20
Igor Paixão,Left Winger,24,Feyenoord,Barcelona,"Jun 30, 2029",€35.00m,27.05.2025 - 14:40,0,2025-05-30 11:21:20
Emanuel Emegha,Centre-Forward,22,R. Strasbourg,Chelsea,"Jun 30, 2028",€20.00m,27.05.2025 - 14:36,0,2025-05-30 11:21:20
Viktor Gyökeres,Centre-Forward,26,Sporting CP,Chelsea,"Jun 30, 2028",€75.00m,27.05.2025 - 14:34,38,2025-05-30 11:21:20
Bart Verbruggen,Goalkeeper,22,Brighton,Barcelona,"Jun 30, 2028",€25.00m,27.05.2025 - 14:28,35,2025-05-30 11:21:20
David de Gea,Goalkeeper,34,Fiorentina,Monaco,"Jun 30, 2025",€5.00m,27.05.2025 - 14:19,67,2025-05-30 11:21:20
Kang-in Lee,Right Winger,24,Paris SG,Napoli,"Jun 30, 2028",€30.00m,27.05.2025 - 14:18,0,2025-05-30 11:21:20
Richard Ledezma,Right-Back,24,PSV Eindhoven,Chivas,"Jun 30, 2025",€3.00m,21.05.2025 - 06:27,0,2025-05-30 11:21:20
Jamie Vardy,Centre-Forward,38,Leicester,Charlotte,"Jun 30, 2025",€1.00m,18.05.2025 - 14:11,0,2025-05-30 11:21:20
Brian Gutiérrez,Attacking Midfield,21,Chicago,AS Roma,"Dec 31, 2028",€4.00m,17.05.2025 - 10:47,55,2025-05-30 11:21:20
Vincent Chyla,Central Midfield,21,Podbrezova,Seattle,"Jun 30, 2027",€250k,16.05.2025 - 19:15,0,2025-05-30 11:21:20
Osman Bukari,Right Winger,26,Austin,Red Star,"Dec 31, 2027",€6.00m,16.05.2025 - 17:58,25,2025-05-30 11:21:20
Thomas Müller,Second Striker,35,Bayern Munich,Dallas,"Jul 31, 2025",€6.00m,15.05.2025 - 12:24,30,2025-05-30 11:21:20
Thomas Müller,Second Striker,35,Bayern Munich,LAFC,"Jul 31, 2025",€6.00m,15.05.2025 - 12:23,0,2025-05-30 11:21:20
Pedro Vite,Central Midfield,23,Vancouver,AS Roma,"Dec 31, 2025",€5.00m,06.05.2025 - 21:30,0,2025-05-30 11:21:20
Jonathan Gómez,Left-Back,21,PAOK Salonika,Chivas,"Jun 30, 2027",€800k,06.05.2025 - 18:23,0,2025-05-30 11:21:20
Tahiel Jiménez,Centre-Forward,19,Santos U19,Royal Antwerp,-,€1.00m,03.05.2025 - 23:32,0,2025-05-30 11:21:20
Kevin De Bruyne,Attacking Midfield,33,Man City,Chicago,"Jun 30, 2025",€27.00m,02.05.2025 - 17:44,55,2025-05-30 11:21:20
Petar Stanic,Attacking Midfield,23,FK TSC,Vancouver,"Jun 25, 2026",€1.80m,01.05.2025 - 14:49,60,2025-05-30 11:21:20
