player_name,position,age,current_club,interested_club,contract_expiry_date,market_value,last_updated,probability,loaded_at
Liam Delap,Centre-Forward,22,Ipswich,Chelsea,"Jun 30, 2029",€35.00m,30.05.2025 - 09:29,52,2025-05-30 11:21:20
Cristian Romero,Centre-Back,27,Tottenham,Atlético Madrid,"Jun 30, 2027",€55.00m,30.05.2025 - 09:26,93,2025-05-30 11:21:20
Cody Gakpo,Left Winger,26,Liverpool,Bayern Munich,"Jun 30, 2028",€70.00m,30.05.2025 - 09:25,0,2025-05-30 11:21:20
Kaoru Mitoma,Left Winger,28,Brighton,Bayern Munich,"Jun 30, 2027",€45.00m,30.05.2025 - 09:25,100,2025-05-30 11:21:20
Caoimhín Kelleher,Goalkeeper,26,Liverpool,West Ham,"Jun 30, 2026",€22.00m,30.05.2025 - 09:22,60,2025-05-30 11:21:20
Matheus Cunha,Second Striker,26,Wolves,Man Utd,"Jun 30, 2029",€55.00m,30.05.2025 - 09:20,78,2025-05-30 11:21:20
Nayef Aguerd,Centre-Back,29,West Ham,B. Leverkusen,"Jun 30, 2025",€25.00m,30.05.2025 - 08:44,0,2025-05-30 11:21:20
Jonathan David,Centre-Forward,25,LOSC Lille,Napoli,"Jun 30, 2025",€45.00m,30.05.2025 - 08:42,39,2025-05-30 11:21:20
Dragoș Albu,Defensive Midfield,24,FC U Craiova,FCV Farul,"Jun 30, 2025",€450k,30.05.2025 - 08:07,0,2025-05-30 11:21:20
Efraín Álvarez,Right Winger,22,Club Tijuana,Chivas,"Jun 30, 2026",€5.50m,30.05.2025 - 04:41,0,2025-05-30 11:21:20
Hamza Elowasti,Left Winger,30,Ittihad Tanger,Wydad AC,"Jun 30, 2025",€450k,30.05.2025 - 02:24,100,2025-05-30 11:21:20
Seid Korac,Centre-Back,23,Vojvodina,OH Leuven,"Jun 30, 2027",€2.20m,30.05.2025 - 01:22,0,2025-05-30 11:21:20
Theo Hernández,Left-Back,27,AC Milan,Al-Hilal,"Jun 30, 2026",€40.00m,30.05.2025 - 01:14,87,2025-05-30 11:21:20
Borja Mayoral,Centre-Forward,28,Getafe,Monterrey,"Jun 30, 2027",€9.00m,30.05.2025 - 01:12,0,2025-05-30 11:21:20
Álvaro Carreras,Left-Back,22,Benfica,Real Madrid,"Jun 30, 2029",€35.00m,30.05.2025 - 01:11,82,2025-05-30 11:21:20
Joan García,Goalkeeper,24,Espanyol,Newcastle,"Jun 30, 2028",€20.00m,30.05.2025 - 01:08,0,2025-05-30 11:21:20
Marc Guiu,Centre-Forward,19,Chelsea,Ipswich,"Jun 30, 2029",€8.00m,30.05.2025 - 01:07,0,2025-05-30 11:21:20
Nélson Semedo,Right-Back,31,Wolves,Galatasaray,"Jun 30, 2025",€10.00m,30.05.2025 - 00:56,0,2025-05-30 11:21:20
Ansu Fati,Left Winger,22,Barcelona,Monaco,"Jun 30, 2027",€5.00m,30.05.2025 - 00:54,95,2025-05-30 11:21:20
Rayan Cherki,Right Winger,21,Olympique Lyon,Man City,"Jun 30, 2026",€35.00m,30.05.2025 - 00:53,48,2025-05-30 11:21:20
Benjamin Sesko,Centre-Forward,21,RB Leipzig,Arsenal,"Jun 30, 2029",€65.00m,30.05.2025 - 00:31,47,2025-05-30 11:21:20
Divin Mubama,Centre-Forward,20,Man City U21,LOSC Lille,-,€4.00m,30.05.2025 - 00:29,0,2025-05-30 11:21:20
Divin Mubama,Centre-Forward,20,Man City U21,Ipswich,-,€4.00m,30.05.2025 - 00:27,0,2025-05-30 11:21:20
Dávid Hancko,Centre-Back,27,Feyenoord,Al-Nassr,"Jun 30, 2028",€30.00m,30.05.2025 - 00:26,57,2025-05-30 11:21:20
Joan García,Goalkeeper,24,Espanyol,Barcelona,"Jun 30, 2028",€20.00m,29.05.2025 - 23:43,53,2025-05-30 11:21:20
Gonçalo Ramos,Centre-Forward,23,Paris SG,Liverpool,"Jun 30, 2028",€45.00m,29.05.2025 - 23:41,0,2025-05-30 11:21:20
Roger,Right Winger,19,SC Braga,Benfica,"Jun 30, 2028",€22.00m,29.05.2025 - 23:34,0,2025-05-30 11:21:20
Pedro Álvaro,Centre-Back,25,Estoril,Hellas Verona,"Jun 30, 2025",€2.00m,29.05.2025 - 23:32,0,2025-05-30 11:21:20
Amad Diallo,Right Winger,22,Man Utd,Sunderland,"Jun 30, 2030",€40.00m,29.05.2025 - 20:59,40,2025-05-30 11:21:20
