id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,isFromInsideBox,firstName,lastName,fullName,teamColor,matchId,teamName,oppositeTeam,shortName
2709820605,AttemptSaved,10203,575804,Harry Toffolo,80.0072815544,45.1217834353,81,,True,True,83.49854368960001,43.9307006322,35.60125,1.2199999940000001,0.01720305159687996,0.0,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 0.5763888888888888, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,Harry,Toffolo,Harry Toffolo,#C8102E,4506268,Nottingham Forest,Bournemouth,
2709826899,AttemptSaved,10203,775614,Ryan Yates,91.0,42.9865625,86,,False,True,103.2931034484,35.3725,34.7625,0.160526315,0.06338788568973541,0.04578734561800957,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 0.7982804232804226, 'y': 0.042467279100529096, 'zoomRatio': 1}",False,True,Ryan,Yates,Ryan Yates,#C8102E,4506268,Nottingham Forest,Bournemouth,
2709828075,Goal,8678,933576,Antoine Semenyo,101.3965517244,33.39,86,,False,True,,,32.3225,0.7319999964,0.3015434741973877,0.507495641708374,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 1.4437830687830693, 'y': 0.19365079269841268, 'zoomRatio': 1}",False,True,Antoine,Semenyo,Antoine Semenyo,#D71921,4506268,Bournemouth,Nottingham Forest,
2709831519,AttemptSaved,10203,789502,Morgan Gibbs-White,96.605263157,21.8272611502,90,0.0,True,True,98.6315789471,24.4896815336,32.70374999999999,1.2199999940000001,0.08445777744054794,0.0,RightFoot,RegularPlay,SecondHalf,False,"{'x': 1.3429232804232825, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,Morgan,Gibbs-White,Morgan Gibbs-White,#C8102E,4506268,Nottingham Forest,Bournemouth,
2709832157,AttemptSaved,10203,643717,Taiwo Awoniyi,96.7017543851,37.431250000000006,90,1.0,False,True,104.051724138,34.533750000000005,33.77125,0.40452631380000004,0.11506149172782898,0.04107648879289627,Header,RegularPlay,SecondHalf,False,"{'x': 1.0605158730158726, 'y': 0.10701754333333334, 'zoomRatio': 1}",False,True,Taiwo,Awoniyi,Taiwo Awoniyi,#C8102E,4506268,Nottingham Forest,Bournemouth,
2709862097,Miss,8654,524437,Tomas Soucek,95.35087719170001,23.2985987305,2,,False,False,,,26.111875,0.44305262940000006,0.04452713951468468,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 2, 'y': 0.056167039619681475, 'zoomRatio': 0.47920133111480856}",False,True,Tomas,Soucek,Tomas Soucek,#7B2B3A,4506269,West Ham,Aston Villa,
2709863789,Goal,10252,1185748,Amadou Onana,102.4396551726,37.27875,4,,False,True,,,37.12625,0.8925263114,0.5502658486366272,0.935432493686676,Header,FromCorner,FirstHalf,False,"{'x': 0.1729497354497358, 'y': 0.2361180717989418, 'zoomRatio': 1}",False,True,Amadou,Onana,Amadou Onana,#7D1142,4506269,Aston Villa,West Ham,
2709870121,AttemptSaved,10252,883080,Morgan Rogers,87.7485294116,34.915000000000006,10,,False,True,101.3965517244,33.8475,35.525000000000006,0.20547368320000003,0.13528317213058472,0.24933476746082306,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0.5965608465608451, 'y': 0.05435811724867726, 'zoomRatio': 1}",False,False,Morgan,Rogers,Morgan Rogers,#7D1142,4506269,Aston Villa,West Ham,
2709874297,AttemptSaved,10252,465960,Youri Tielemans,85.06470588159999,24.0692993678,14,,True,True,87.426470588,25.071250000000003,33.39,1.2199999940000001,0.020379384979605675,0.0,RightFoot,IndividualPlay,FirstHalf,False,"{'x': 1.1613756613756612, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,Youri,Tielemans,Youri Tielemans,#7D1142,4506269,Aston Villa,West Ham,
2709877359,AttemptSaved,8654,158545,Michail Antonio,86.889705882,30.645,17,,True,True,88.1779411764,30.797499999999996,33.61875,1.2199999940000001,0.042388129979372025,0.0,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 1.1008597883597888, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,Michail,Antonio,Michail Antonio,#7B2B3A,4506269,West Ham,Aston Villa,
