teamName,teamId
Athletic Club,8315
Atletico,9906
Barcelona,8634
Celta Vigo,9910
Deportivo Alaves,9866
Girona,7732
Getafe,8305
Las Palmas,8306
Mallorca,8661
Osasuna,8371
Rayo Vallecano,8370
Real Betis,8603
Real Madrid,8633
Real Sociedad,8560
Sevilla,8302
Valencia,10267
Villarreal,10205
Leganes,7854
Espanyol,8558
Real Valladoid,10281
